X,Y,OBJECTID,BUSSTOPID,STOPNUMBER,LTAR,LOCATION,ACCESSIBLE,BUSPADID,FDMID,FCODE,SOURCE,SACC,ADDDATE,MODDATE
-63.487981199308976,44.612684801197091,426481,BS1559,7147,Yes,Hornes Rd After Cow Bay Rd (7147),Non-Standard,CPD1729,200002073,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.483228000239976,44.610868301235165,426482,BS1670,8677,Yes,Cow Bay Rd After Ridding Rd (8677),Non-Standard,CPD1930,700006224,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.635023900307282,44.635069700911544,426483,BS1289,8810,Yes,Walter Havill Dr After 1st Ridgepark Ln (8810),Accessible,CPD1461,300003606,Conventional Transit Bus Stop,18/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
-63.478147899747505,44.616614800745054,426484,BS1772,8664,Yes,Caldwell Rd After Briarwood Dr (8664),Accessible,CPD1845,700009823,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.600469599235758,44.649253401192276,426485,BS2044,6402,Yes,Chebucto Rd After Dublin St (6402),Accessible,CPD1983,300001346,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.525995099389213,44.678745700427555,426486,BS27,8590,Yes,Woodlawn Rd After Mt Edward Rd (8590),Accessible,CPD488,200000988,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.69065289982813,44.789810401220578,426487,BS1143,8353,Yes,Stokil Dr After Beaver Bank Rd (8353),Non-Standard,CPD1376,100001365,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.531572600647763,44.676401100877662,426488,BS1210,7036,Yes,Valleyfield Rd Before Langley Ave (7036),Accessible,CPD1294,200000196,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.613092500131067,44.673315500615431,426489,BS1222,7048,Yes,Kencrest Ave At Newbery St (7048),Accessible,CPD1306,700005062,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.670634900427302,44.683050300560112,426490,BS1194,7024,Yes,Kearney Lake Rd Before Castle Hill Dr (7024),Accessible,CPD1280,300000043,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.539224099894938,44.665516000500517,426491,BS504,6731,Yes,Gaston Rd Opposite Cleary Dr (6731),Accessible,CPD68,200002203,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.525768099608499,44.676291600724198,426492,BS1783,6633,Yes,Ellenvale Ave Before Clifford Dr (6633),Non-Standard,CPD1854,200000995,Conventional Transit Bus Stop,18/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
-63.590601400125507,44.687300500909807,426493,BS913,6919,Yes,Highfield Park Dr Opposite Civic 72 (6919),Accessible,CPD1151,200000665,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.604464100080406,44.65815880023802,426494,BS1421,8629,Yes,Young St After Monaghan Dr (8629),Accessible,CPD224,700005103,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.656717800295425,44.760798501225274,426495,BS1856,6444,Yes,Cobequid Rd Before Nelson Dr (6444),Non-Standard,CPD2018,100001347,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.47793980052036,44.6504197015636,426496,BS2092,6373,Yes,Carlisle Dr After Huntingdon Dr (6373),Inaccessible,CPD2265,200001327,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.615574200308018,44.645883901168567,426497,BS89,7275,Yes,Mumford Rd After Chebucto Rd (7275),Accessible,CPD493,700005127,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.517575541472432,44.663229048365665,426498,BS602,8034,Yes,Portland Estates Blvd West At Civic 69 (8034),Accessible,CPD1064,200000931,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.736918900178097,44.656382800761953,426499,BS594,7181,Yes,Maplewood Dr Before Norway Maple Dr (7181),Non-Standard,CPD987,300003127,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
